,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
71,-0.612,Wed Aug 29 19:53:26 +0000 2018,0.737,0.263,0.0,72,@BBCNews
72,0.0,Wed Aug 29 19:53:23 +0000 2018,1.0,0.0,0.0,73,@BBCNews
73,0.0,Wed Aug 29 19:53:13 +0000 2018,1.0,0.0,0.0,74,@BBCNews
74,-0.542,Wed Aug 29 19:53:11 +0000 2018,0.816,0.184,0.0,75,@BBCNews
75,0.0,Wed Aug 29 19:52:56 +0000 2018,1.0,0.0,0.0,76,@BBCNews
76,0.273,Wed Aug 29 19:52:55 +0000 2018,0.675,0.129,0.196,77,@BBCNews
77,-0.077,Wed Aug 29 19:52:45 +0000 2018,0.92,0.08,0.0,78,@BBCNews
78,0.338,Wed Aug 29 19:52:39 +0000 2018,0.715,0.0,0.285,79,@BBCNews
79,-0.612,Wed Aug 29 19:52:30 +0000 2018,0.737,0.263,0.0,80,@BBCNews
80,0.0,Wed Aug 29 19:54:08 +0000 2018,1.0,0.0,0.0,81,@BBCNews
81,0.0,Wed Aug 29 19:54:04 +0000 2018,1.0,0.0,0.0,82,@BBCNews
82,0.0,Wed Aug 29 19:54:03 +0000 2018,1.0,0.0,0.0,83,@BBCNews
83,-0.612,Wed Aug 29 19:54:03 +0000 2018,0.737,0.263,0.0,84,@BBCNews
84,-0.542,Wed Aug 29 19:54:01 +0000 2018,0.816,0.184,0.0,85,@BBCNews
85,0.226,Wed Aug 29 19:53:59 +0000 2018,0.513,0.0,0.487,86,@BBCNews
86,0.0,Wed Aug 29 19:53:56 +0000 2018,1.0,0.0,0.0,87,@BBCNews
87,0.0,Wed Aug 29 19:53:44 +0000 2018,1.0,0.0,0.0,88,@BBCNews
88,-0.612,Wed Aug 29 19:53:32 +0000 2018,0.737,0.263,0.0,89,@BBCNews
89,0.0,Wed Aug 29 19:53:30 +0000 2018,1.0,0.0,0.0,90,@BBCNews
90,0.0,Wed Aug 29 19:53:27 +0000 2018,1.0,0.0,0.0,91,@BBCNews
91,-0.612,Wed Aug 29 19:53:26 +0000 2018,0.737,0.263,0.0,92,@BBCNews
92,0.0,Wed Aug 29 19:53:23 +0000 2018,1.0,0.0,0.0,93,@BBCNews
93,0.0,Wed Aug 29 19:53:13 +0000 2018,1.0,0.0,0.0,94,@BBCNews
94,-0.542,Wed Aug 29 19:53:11 +0000 2018,0.816,0.184,0.0,95,@BBCNews
95,0.0,Wed Aug 29 19:52:56 +0000 2018,1.0,0.0,0.0,96,@BBCNews
96,0.273,Wed Aug 29 19:52:55 +0000 2018,0.675,0.129,0.196,97,@BBCNews
97,-0.077,Wed Aug 29 19:52:45 +0000 2018,0.92,0.08,0.0,98,@BBCNews
98,0.338,Wed Aug 29 19:52:39 +0000 2018,0.715,0.0,0.285,99,@BBCNews
99,-0.612,Wed Aug 29 19:52:30 +0000 2018,0.737,0.263,0.0,100,@BBCNews
